id,title,artist,genre,mood_tags,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness,duration_ms,key,mode,time_signature,popularity
IAoCLrZ3aWZkSBvrjn9Wvg,Broken Ghost,The Oceans,folk,tense|dreamy,0.601,0.477,0.503,116.8,-13.21,0.041,0.832,0.258,0.193,218519,3,0,5,54
3gyrDO1xkxwnQrS7RPeMOk,Sweet Memory,Nadia Ryder,reggae,dreamy|nostalgic,0.865,0.742,0.889,72.7,-11.76,0.039,0.36,0.097,0.2,268324,4,0,4,57
JIqVLB5LzxoiGFfWd3hjOk,Hollow Bloom,The Ghosts,latin,melancholic|playful|nostalgic,1.0,0.777,0.751,114.7,-9.13,0.027,0.057,0.263,0.177,260753,10,1,4,43
WlG6g3Ot1OGMmjxWkI9X7H,Midnight Bloom,Ava Blake,pop,nostalgic|tense,0.79,0.625,0.533,119.3,-7.76,0.052,0.337,0.0,0.207,278998,11,1,5,45
9n7IWUSmTtzQPxC5HChpoe,Crystal Horizon,Rio Voss,jazz,happy,0.506,0.489,0.495,88.1,-7.95,0.051,0.525,0.275,0.253,256730,8,0,4,18
YEZAmggQBwBAD3UdRPPgdz,Crystal River,Sena Shaw,folk,aggressive|chill,0.422,0.392,0.52,95.3,-10.18,0.0,0.882,0.121,0.161,201208,9,1,4,4
z5dkyayq7YYDsBS9UYJQTF,Silent Echo,Kai Cross,electronic,happy|uplifting,0.753,0.746,0.605,136.1,-5.42,0.058,0.0,0.492,0.289,252024,3,0,4,31
McNfAQLKHu7qnQTupqziQP,Fading Storm,Nova Vance,reggae,uplifting|melancholic|sad,0.707,0.679,0.56,92.7,-8.76,0.151,0.417,0.1,0.232,136563,9,0,5,72
84iqh4gVJjrsMnTvnRO2qG,Restless Fire,Kai Reyes,reggae,nostalgic|happy|aggressive,0.722,0.642,0.933,82.1,-5.41,0.139,0.124,0.134,0.11,162309,10,0,5,35
ictx57Y3c5wnRpQgwXJ43A,Radiant Shadow,Rio Quinn,hip-hop,nostalgic|happy,0.919,0.589,0.411,98.5,-6.35,0.292,0.09,0.0,0.244,256361,5,0,4,30
t0Y3oobQmzvr3e9XrwPGzR,Sweet Road,Leo Ryder,indie,melancholic|playful,0.736,0.454,0.31,106.0,-6.4,0.125,0.468,0.092,0.129,222563,7,0,4,54
Be8Q6vNuQ2hU5tGtQAuzSs,Sweet Shadow,Nadia Quinn,pop,aggressive|nostalgic,0.578,0.75,0.701,106.7,-7.35,0.011,0.133,0.0,0.237,213135,0,0,4,76
vf08WpRtoZmjbcpEN2XeDA,Faded Echo,Nadia Knox,jazz,energetic|uplifting|happy,0.471,0.524,0.358,112.8,-10.36,0.115,0.445,0.173,0.295,173505,2,0,4,16
JMu8W5CN0U5GB16JC5kV3E,Endless Fire,Talia Knox,latin,energetic|sad,0.784,0.86,0.46,110.2,-9.14,0.0,0.219,0.0,0.178,232672,2,1,5,39
5XL8Sb24WKyEa8wtWy2591,Hollow Star,Toma Voss,jazz,energetic|romantic|happy,0.511,0.508,0.598,119.6,-10.01,0.088,0.512,0.369,0.073,233278,7,1,3,50
3DldqyunDuvW4yrW81Aq1f,Restless Horizon,Kai Frost,classical,dreamy|tense,0.421,0.145,0.216,129.5,-21.4,0.0,0.854,0.573,0.104,165567,1,1,4,28
ThX0k9tgLb7tKR69yz8Tme,Faded Memory,The Rains,folk,dreamy,0.479,0.358,0.505,98.9,-11.22,0.064,1.0,0.036,0.256,200575,4,1,4,4
BlUH9PrNZ6IXEDB0ULru2p,Broken Fire,Rio Shaw,metal,aggressive|romantic|chill,0.209,0.923,0.214,129.0,-4.59,0.114,0.0,0.15,0.0,295229,10,1,4,76
YbfsozSptQLxEJHwBVJvwS,Endless Fire,Rio Blake,r&b,chill|tense,0.701,0.709,0.284,85.8,-1.43,0.068,0.461,0.0,0.287,247703,7,0,4,30
aTIircdJsS8iO3WFg3aKsE,Restless Storm,Kai Ryder,latin,happy|melancholic,0.689,0.671,0.609,86.8,-7.75,0.0,0.191,0.0,0.0,231636,5,0,4,30
LBtKNdN9Vg8WnOnqQfkplJ,Broken Skyline,The Storms,metal,chill|energetic|dreamy,0.373,0.871,0.464,176.2,-1.37,0.118,0.176,0.0,0.011,171176,3,1,4,59
edkYtMV0K6sChDStSz8rGI,Restless Storm,The Hearts,indie,dreamy|uplifting|happy,0.495,0.579,0.455,119.1,-11.73,0.071,0.362,0.194,0.087,236439,2,1,4,54
O0FfEwAvuQg2kvASFsQ8z0,Sweet Heart,Wren Ryder,electronic,sad|tense,0.942,0.726,0.172,126.0,-5.09,0.074,0.0,0.529,0.154,169928,10,1,4,56
i7sC4SFhbOMZpTktJaJAfo,Electric Storm,Mira Knox,blues,melancholic|chill,0.595,0.094,0.359,88.4,-8.16,0.006,0.397,0.024,0.278,167338,3,1,5,21
Ut1LLQF3jCIEwvJWIyD7u3,Velvet Memory,Rio Wells,blues,chill,0.315,0.465,0.319,110.1,-9.03,0.033,0.522,0.209,0.306,244240,6,1,5,44
H6DaUjA3PjeEYqvNSzPf2v,Sweet Ghost,Reo Cross,r&b,energetic,0.659,0.439,0.187,109.5,-13.85,0.046,0.033,0.136,0.151,161577,1,1,3,44
jpHAKRYlklfN3yNRpF6Ljo,Endless Fire,Ava Shaw,folk,dreamy|energetic,0.814,0.152,0.497,114.9,-8.11,0.021,0.59,0.239,0.075,133812,0,1,3,39
